ID дистрибьютора;Дата;Код продукта дистрибьютора;Количество;Сумма в закупочных ценах;
17;28.05.2023;ЛЦ0011013;0;0;
17;28.05.2023;ЛЦ0011119;0;0;
17;28.05.2023;ЛЦ0006613;100;7435;
17;28.05.2023;ЛЦ0009003;0;0;
17;28.05.2023;ЛЦ0008631;140,112;10091,4;
17;28.05.2023;ЛЦ0010463;0;0;
17;28.05.2023;ЛЦ0011135;0;0;
17;28.05.2023;ЛЦ0011243;8860;302678,8;
17;28.05.2023;ЛЦ0010448;0;0;
17;28.05.2023;ЛУ0000006;0;0;
17;28.05.2023;ЛЦ0005388;336;16884;
17;28.05.2023;ЛЦ0011477;0;0;
17;28.05.2023;ЛЦ0011014;0;0;
17;28.05.2023;ЛЦ0011455;0;0;
17;28.05.2023;ЛЦ0009360;0;0;
17;28.05.2023;ЛЦ0009004;0;0;
17;28.05.2023;ЛЦ0011346;0;0;
17;28.05.2023;ЛЦ0006625;50;4810;
17;28.05.2023;ЛЦ0010449;0;0;
17;28.05.2023;ЛЦ0009155;0;0;
17;28.05.2023;ЛЦ0011381;150;8625;
17;28.05.2023;ЛУ0012010;0;0;
17;28.05.2023;ЛЦ0011136;0;0;
17;28.05.2023;ЛЦ0006626;0;0;
17;28.05.2023;ЛЦ0010625;0;0;
17;28.05.2023;ЛЦ0010787;0;0;
17;28.05.2023;ЛЦ0002292;0;0;
17;29.05.2023;ЛЦ0005798;0;0;
17;29.05.2023;ЛУ0000026;121;11132;
17;29.05.2023;ЛЦ0011383;150;15625;
17;29.05.2023;ЛЦ0002663;160;17312;
17;29.05.2023;ЛУ0000045;76;7212,4;
17;29.05.2023;ЛУ0009210;0;0;
17;29.05.2023;ЛЦ0003863;113;8768,8;
17;29.05.2023;ЛЦ0011441;0;0;
17;29.05.2023;ЛЦ0009357;0;0;
17;29.05.2023;ЛЦ0011301;720;37235;
17;29.05.2023;ЛЦ0005548;0;0;
17;29.05.2023;ЛУ0007470;0;0;
17;29.05.2023;ЛЦ0011384;600;22500;
17;29.05.2023;ЛУ0000027;0;0;
17;29.05.2023;ЛУ0000046;0;0;
17;29.05.2023;ЛЦ0003864;25;1980;
17;29.05.2023;ЛЦ0010823;0;0;
17;29.05.2023;ЛЦ0009358;412;34,34;
17;29.05.2023;ЛУ0000003;192;9321,6;
17;29.05.2023;ЛУ0012020;307;17268,75;
17;29.05.2023;ЛЦ0011353;300;25;
17;29.05.2023;ЛЦ0002289;0;0;
17;29.05.2023;ЛУ0000246;0;0;
17;29.05.2023;ЛУ0000047;15;1791,75;
17;29.05.2023;ЛЦ0004202;0;0;
17;29.05.2023;ЛЦ0011117;0;0;
17;29.05.2023;ЛЦ0004684;205,2;13440,6;
17;29.05.2023;ЛЦ0005103;3840;21120;
17;29.05.2023;ЛЦ0010356;0;0;
17;29.05.2023;ЛЦ0010824;0;0;
17;29.05.2023;ЛЦ0011313;24;20;
17;29.05.2023;ЛЦ0010682;245;12458,25;
17;29.05.2023;ЛЦ0009359;0;0;
17;29.05.2023;ЛЦ0011361;100;8,33;
17;29.05.2023;ЛУ0000018;240;16236;
17;29.05.2023;ЛЦ0007893;470;2585;
17;29.05.2023;ЛЦ0010967;1235;61564,75;
17;29.05.2023;ЛЦ0011312;0;0;
17;29.05.2023;ЛЦ0006403;50;3900;
17;29.05.2023;ЛУ0012000;50;3927,49;
17;29.05.2023;ЛУ0000649;0;0;
17;29.05.2023;ЛЦ0010981;720;60;
17;29.05.2023;ЛЦ0011118;0;0;
17;29.05.2023;ЛУ0000117;0;0;
17;29.05.2023;ЛЦ0003980;130;20182,51;
17;29.05.2023;ЛЦ0010842;0;0;
17;29.05.2023;ЛЦ0007894;151;27784;
17;29.05.2023;ЛУ0000011;341,5;62836;
17;29.05.2023;ЛЦ0010462;0;0;
17;29.05.2023;ЛЦ0011122;0;0;
17;29.05.2023;ЛЦ0002218;40;4690,5;
17;29.05.2023;ЛУ0000005;36;1936,8;
17;29.05.2023;ЛУ0000248;0;0;
17;29.05.2023;ЛЦ0010461;329,1;60554,4;
17;29.05.2023;ЛЦ0011013;0;0;
17;29.05.2023;ЛЦ0011119;0;0;
17;29.05.2023;ЛЦ0006613;100;7435;
17;29.05.2023;ЛЦ0009003;0;0;
17;29.05.2023;ЛЦ0008631;74,592;5372,4;
17;29.05.2023;ЛЦ0010463;0;0;
17;29.05.2023;ЛЦ0011135;0;0;
17;29.05.2023;ЛЦ0011243;8086;276246,7;
17;29.05.2023;ЛЦ0010448;0;0;
17;29.05.2023;ЛУ0000006;0;0;
17;29.05.2023;ЛЦ0005388;168;8442;
17;29.05.2023;ЛЦ0011477;0;0;
17;29.05.2023;ЛЦ0011014;0;0;
17;29.05.2023;ЛЦ0011455;0;0;
17;29.05.2023;ЛЦ0009360;0;0;
17;29.05.2023;ЛЦ0009004;0;0;
17;29.05.2023;ЛЦ0011346;0;0;
17;29.05.2023;ЛЦ0006625;50;4810;
17;29.05.2023;ЛЦ0010449;0;0;
17;29.05.2023;ЛЦ0009155;0;0;
17;29.05.2023;ЛЦ0011381;150;8625;
17;29.05.2023;ЛУ0012010;0;0;
17;29.05.2023;ЛЦ0011136;0;0;
17;29.05.2023;ЛЦ0006626;0;0;
17;29.05.2023;ЛЦ0010625;0;0;
17;29.05.2023;ЛЦ0010787;0;0;
17;29.05.2023;ЛЦ0002292;0;0;
17;29.05.2023;ЛЦ0007401;50;3330;
17;29.05.2023;ЛЦ0011120;0;0;
17;29.05.2023;ЛЦ0004199;0;0;
17;29.05.2023;ЛЦ0011382;150;10250;
17;29.05.2023;ЛУ0000025;0;0;
17;29.05.2023;ЛУ0000044;70;2919,01;
17;29.05.2023;ЛЦ0003862;50;4412,5;
17;29.05.2023;ЛЦ0009247;0;0;
17;29.05.2023;ЛЦ0005445;0;0;
17;29.05.2023;ЛЦ0010418;0;0;
17;29.05.2023;ЛЦ0010706;0;0;
17;29.05.2023;ЛЦ0006627;0;0;
17;29.05.2023;ЛЦ0010460;146;584;
17;29.05.2023;ЛЦ0006108;184,5;32379,75;
17;29.05.2023;ЛЦ0011001;0;0;
17;29.05.2023;ЛЦ0011121;0;0;
17;30.05.2023;ЛЦ0011384;600;22500;
17;30.05.2023;ЛУ0000027;0;0;
17;30.05.2023;ЛУ0000046;0;0;
17;30.05.2023;ЛЦ0003864;40;3168;
17;30.05.2023;ЛЦ0010823;0;0;
17;30.05.2023;ЛЦ0009358;1792;149,34;
17;30.05.2023;ЛУ0000003;762;36995,1;
17;30.05.2023;ЛУ0012020;307;17268,75;
17;30.05.2023;ЛЦ0011353;300;25;
17;30.05.2023;ЛЦ0002289;0;0;
17;30.05.2023;ЛУ0000246;0;0;
17;30.05.2023;ЛУ0000047;10;1194,5;
17;30.05.2023;ЛЦ0004202;0;0;
17;30.05.2023;ЛЦ0011117;0;0;
17;30.05.2023;ЛЦ0004684;4190,4;274471,2;
17;30.05.2023;ЛЦ0005103;3840;21120;
17;30.05.2023;ЛЦ0010356;40;3680;
17;30.05.2023;ЛЦ0010824;0;0;
17;30.05.2023;ЛЦ0011313;24;20;
17;30.05.2023;ЛЦ0010682;1155;58731,75;
17;30.05.2023;ЛЦ0009359;0;0;
17;30.05.2023;ЛЦ0011361;100;8,33;
17;30.05.2023;ЛУ0000018;339;22933,35;
17;30.05.2023;ЛЦ0007893;4070;22385;
17;30.05.2023;ЛЦ0010967;1235;61564,75;
17;30.05.2023;ЛЦ0011312;0;0;
17;30.05.2023;ЛЦ0006403;50;3900;
17;30.05.2023;ЛУ0012000;50;3927,49;
17;30.05.2023;ЛУ0000649;0;0;
17;30.05.2023;ЛЦ0010981;720;60;
17;30.05.2023;ЛЦ0011118;0;0;
17;30.05.2023;ЛУ0000117;0;0;
17;30.05.2023;ЛЦ0003980;170;26392,51;
17;30.05.2023;ЛЦ0010842;0;0;
17;30.05.2023;ЛЦ0007894;151;27784;
17;30.05.2023;ЛУ0000011;341,5;62836;
17;30.05.2023;ЛЦ0010462;0;0;
17;30.05.2023;ЛЦ0011122;0;0;
17;30.05.2023;ЛЦ0002218;40;4690,5;
17;30.05.2023;ЛУ0000005;84;4519,2;
17;30.05.2023;ЛУ0000248;0;0;
17;30.05.2023;ЛЦ0010461;329,1;60554,4;
17;30.05.2023;ЛЦ0011013;0;0;
17;30.05.2023;ЛЦ0011119;0;0;
17;30.05.2023;ЛЦ0006613;100;7435;
17;30.05.2023;ЛЦ0009003;0;0;
17;30.05.2023;ЛЦ0008631;141,12;10164;
17;30.05.2023;ЛЦ0010463;0;0;
17;30.05.2023;ЛЦ0011135;0;0;
17;30.05.2023;ЛЦ0011243;12866;439483,7;
17;30.05.2023;ЛЦ0010448;0;0;
17;30.05.2023;ЛУ0000006;0;0;
17;30.05.2023;ЛЦ0005388;408;20502;
17;30.05.2023;ЛЦ0011477;0;0;
17;30.05.2023;ЛЦ0011014;0;0;
17;30.05.2023;ЛЦ0011455;10;875;
17;30.05.2023;ЛЦ0009360;0;0;
17;30.05.2023;ЛЦ0009004;0;0;
17;30.05.2023;ЛЦ0011346;0;0;
17;30.05.2023;ЛЦ0006625;50;4810;
17;30.05.2023;ЛЦ0010449;0;0;
17;30.05.2023;ЛЦ0009155;0;0;
17;30.05.2023;ЛЦ0011381;150;8625;
17;30.05.2023;ЛУ0012010;0;0;
17;30.05.2023;ЛЦ0011136;0;0;
17;30.05.2023;ЛЦ0006626;0;0;
17;30.05.2023;ЛЦ0010625;0;0;
17;30.05.2023;ЛЦ0010787;0;0;
17;30.05.2023;ЛЦ0002292;0;0;
17;30.05.2023;ЛЦ0007401;40;2664;
17;30.05.2023;ЛЦ0011120;0;0;
17;30.05.2023;ЛЦ0004199;0;0;
17;30.05.2023;ЛЦ0011382;150;10250;
17;30.05.2023;ЛУ0000025;0;0;
17;30.05.2023;ЛУ0000044;50;2085,01;
17;30.05.2023;ЛЦ0003862;50;4412,5;
17;30.05.2023;ЛЦ0009247;0;0;
17;30.05.2023;ЛЦ0005445;0;0;
17;30.05.2023;ЛЦ0010418;0;0;
17;30.05.2023;ЛЦ0010706;0;0;
17;30.05.2023;ЛЦ0006627;0;0;
17;30.05.2023;ЛЦ0010460;146;584;
17;30.05.2023;ЛЦ0006108;183,5;32204,25;
17;30.05.2023;ЛЦ0011001;0;0;
17;30.05.2023;ЛЦ0011121;0;0;
17;30.05.2023;ЛЦ0005798;0;0;
17;30.05.2023;ЛУ0000026;121;11132;
17;30.05.2023;ЛЦ0011383;150;15625;
17;30.05.2023;ЛЦ0002663;150;16230;
17;30.05.2023;ЛУ0000045;116;11008,4;
17;30.05.2023;ЛУ0009210;0;0;
17;30.05.2023;ЛЦ0003863;193;14976,8;
17;30.05.2023;ЛЦ0011441;0;0;
17;30.05.2023;ЛЦ0009357;0;0;
17;30.05.2023;ЛЦ0011301;720;37235;
17;30.05.2023;ЛЦ0005548;0;0;
17;30.05.2023;ЛУ0007470;0;0;
17;31.05.2023;ЛЦ0002289;0;0;
17;31.05.2023;ЛУ0000246;0;0;
17;31.05.2023;ЛУ0000047;10;1194,5;
17;31.05.2023;ЛЦ0004202;0;0;
17;31.05.2023;ЛЦ0011117;0;0;
17;31.05.2023;ЛЦ0004684;2878,2;188522,1;
17;31.05.2023;ЛЦ0005103;3360;18480;
17;31.05.2023;ЛЦ0010356;30;2760;
17;31.05.2023;ЛЦ0010824;0;0;
17;31.05.2023;ЛЦ0011313;24;20;
17;31.05.2023;ЛЦ0010682;600;30510;
17;31.05.2023;ЛЦ0009359;0;0;
17;31.05.2023;ЛЦ0011361;100;8,33;
17;31.05.2023;ЛУ0000018;339;22933,35;
17;31.05.2023;ЛЦ0007893;4070;22385;
17;31.05.2023;ЛЦ0010967;1235;61564,75;
17;31.05.2023;ЛЦ0011312;0;0;
17;31.05.2023;ЛЦ0006403;50;3900;
17;31.05.2023;ЛУ0012000;50;3927,49;
17;31.05.2023;ЛУ0000649;0;0;
17;31.05.2023;ЛЦ0010981;720;60;
17;31.05.2023;ЛЦ0011118;0;0;
17;31.05.2023;ЛУ0000117;0;0;
17;31.05.2023;ЛЦ0003980;170;26392,51;
17;31.05.2023;ЛЦ0010842;0;0;
17;31.05.2023;ЛЦ0007894;151;27784;
17;31.05.2023;ЛУ0000011;341,5;62836;
17;31.05.2023;ЛЦ0010462;0;0;
17;31.05.2023;ЛЦ0011122;0;0;
17;31.05.2023;ЛЦ0002218;40;4690,5;
17;31.05.2023;ЛУ0000005;24;1291,2;
17;31.05.2023;ЛУ0000248;0;0;
17;31.05.2023;ЛЦ0010461;329,1;60554,4;
17;31.05.2023;ЛЦ0011013;0;0;
17;31.05.2023;ЛЦ0011119;0;0;
17;31.05.2023;ЛЦ0006613;100;7435;
17;31.05.2023;ЛЦ0009003;0;0;
17;31.05.2023;ЛЦ0008631;108,864;7840,8;
17;31.05.2023;ЛЦ0010463;0;0;
17;31.05.2023;ЛЦ0011135;0;0;
17;31.05.2023;ЛЦ0011243;8524;291204,4;
17;31.05.2023;ЛЦ0010448;0;0;
17;31.05.2023;ЛУ0000006;0;0;
17;31.05.2023;ЛЦ0005388;288;14472;
17;31.05.2023;ЛЦ0011477;0;0;
17;31.05.2023;ЛЦ0011014;0;0;
17;31.05.2023;ЛЦ0011455;10;875;
17;31.05.2023;ЛЦ0009360;0;0;
17;31.05.2023;ЛЦ0009004;0;0;
17;31.05.2023;ЛЦ0011346;0;0;
17;31.05.2023;ЛЦ0006625;50;4810;
17;31.05.2023;ЛЦ0010449;0;0;
17;31.05.2023;ЛЦ0009155;0;0;
17;31.05.2023;ЛЦ0011381;150;8625;
17;31.05.2023;ЛУ0012010;0;0;
17;31.05.2023;ЛЦ0011136;0;0;
17;31.05.2023;ЛЦ0006626;0;0;
17;31.05.2023;ЛЦ0010625;0;0;
17;31.05.2023;ЛЦ0010787;0;0;
17;31.05.2023;ЛЦ0002292;0;0;
17;31.05.2023;ЛЦ0007401;40;2664;
17;31.05.2023;ЛЦ0011120;0;0;
17;31.05.2023;ЛЦ0004199;0;0;
17;31.05.2023;ЛЦ0011382;150;10250;
17;31.05.2023;ЛУ0000025;0;0;
17;31.05.2023;ЛУ0000044;50;2085,01;
17;31.05.2023;ЛЦ0003862;40;3530;
17;31.05.2023;ЛЦ0009247;0;0;
17;31.05.2023;ЛЦ0005445;0;0;
17;31.05.2023;ЛЦ0010418;0;0;
17;31.05.2023;ЛЦ0010706;0;0;
17;31.05.2023;ЛЦ0006627;0;0;
17;31.05.2023;ЛЦ0010460;146;584;
17;31.05.2023;ЛЦ0006108;183,5;32204,25;
17;31.05.2023;ЛЦ0011001;0;0;
17;31.05.2023;ЛЦ0011121;0;0;
17;31.05.2023;ЛЦ0005798;0;0;
17;31.05.2023;ЛУ0000026;81;7452;
17;31.05.2023;ЛЦ0011383;150;15625;
17;31.05.2023;ЛЦ0002663;100;10820;
17;31.05.2023;ЛУ0000045;116;11008,4;
17;31.05.2023;ЛУ0009210;0;0;
17;31.05.2023;ЛЦ0003863;163;12648,8;
17;31.05.2023;ЛЦ0011441;0;0;
17;31.05.2023;ЛЦ0009357;0;0;
17;31.05.2023;ЛЦ0011301;720;37235;
17;31.05.2023;ЛЦ0005548;0;0;
17;31.05.2023;ЛУ0007470;0;0;
17;31.05.2023;ЛЦ0011384;600;22500;
17;31.05.2023;ЛУ0000027;0;0;
17;31.05.2023;ЛУ0000046;0;0;
17;31.05.2023;ЛЦ0003864;40;3168;
17;31.05.2023;ЛЦ0010823;0;0;
17;31.05.2023;ЛЦ0009358;1540;128,34;
17;31.05.2023;ЛУ0000003;762;36995,1;
17;31.05.2023;ЛУ0012020;257;14456,25;
17;31.05.2023;ЛЦ0011353;300;25;
17;01.06.2023;ЛЦ0011118;0;0;
17;01.06.2023;ЛУ0000117;0;0;
17;01.06.2023;ЛЦ0003980;170;26392,51;
17;01.06.2023;ЛЦ0010842;0;0;
17;01.06.2023;ЛЦ0007894;151;27784;
17;01.06.2023;ЛУ0000011;332,5;61180;
17;01.06.2023;ЛЦ0010462;0;0;
17;01.06.2023;ЛЦ0011122;0;0;
17;01.06.2023;ЛЦ0002218;40;4690,5;
17;01.06.2023;ЛУ0000005;0;0;
17;01.06.2023;ЛУ0000248;0;0;
17;01.06.2023;ЛЦ0010461;329,1;60554,4;
17;01.06.2023;ЛЦ0011013;0;0;
17;01.06.2023;ЛЦ0011119;0;0;
17;01.06.2023;ЛЦ0006613;80;5948;
17;01.06.2023;ЛЦ0009003;0;0;
17;01.06.2023;ЛЦ0008631;96,768;6969,6;
17;01.06.2023;ЛЦ0010463;0;0;
17;01.06.2023;ЛЦ0011135;0;0;
17;01.06.2023;ЛЦ0011243;5590;191008,3;
17;01.06.2023;ЛЦ0010448;0;0;
17;01.06.2023;ЛУ0000006;0;0;
17;01.06.2023;ЛЦ0005388;288;14472;
17;01.06.2023;ЛЦ0011477;0;0;
17;01.06.2023;ЛЦ0011014;0;0;
17;01.06.2023;ЛЦ0011455;10;875;
17;01.06.2023;ЛЦ0009360;0;0;
17;01.06.2023;ЛЦ0009004;0;0;
17;01.06.2023;ЛЦ0011346;0;0;
17;01.06.2023;ЛЦ0006625;45;4329;
17;01.06.2023;ЛЦ0010449;0;0;
17;01.06.2023;ЛЦ0009155;0;0;
17;01.06.2023;ЛЦ0011381;150;8625;
17;01.06.2023;ЛУ0012010;0;0;
17;01.06.2023;ЛЦ0011136;0;0;
17;01.06.2023;ЛЦ0006626;0;0;
17;01.06.2023;ЛЦ0010625;0;0;
17;01.06.2023;ЛЦ0010787;0;0;
17;01.06.2023;ЛЦ0002292;0;0;
17;01.06.2023;ЛЦ0007401;40;2664;
17;01.06.2023;ЛЦ0011120;0;0;
17;01.06.2023;ЛЦ0004199;0;0;
17;01.06.2023;ЛЦ0011382;150;10250;
17;01.06.2023;ЛУ0000025;0;0;
17;01.06.2023;ЛУ0000044;50;2085,01;
17;01.06.2023;ЛЦ0003862;40;3530;
17;01.06.2023;ЛЦ0009247;0;0;
17;01.06.2023;ЛЦ0005445;0;0;
17;01.06.2023;ЛЦ0010418;0;0;
17;01.06.2023;ЛЦ0010706;0;0;
17;01.06.2023;ЛЦ0006627;0;0;
17;01.06.2023;ЛЦ0010460;146;584;
17;01.06.2023;ЛЦ0006108;183,5;32204,25;
17;01.06.2023;ЛЦ0011001;0;0;
17;01.06.2023;ЛЦ0011121;0;0;
17;01.06.2023;ЛЦ0005798;0;0;
17;01.06.2023;ЛУ0000026;71;6532;
17;01.06.2023;ЛЦ0011383;150;15625;
17;01.06.2023;ЛЦ0002663;80;8656;
17;01.06.2023;ЛУ0000045;96;9110,4;
17;01.06.2023;ЛУ0009210;0;0;
17;01.06.2023;ЛЦ0003863;133;10320,8;
17;01.06.2023;ЛЦ0011441;0;0;
17;01.06.2023;ЛЦ0009357;0;0;
17;01.06.2023;ЛЦ0011301;720;37235;
17;01.06.2023;ЛЦ0005548;0;0;
17;01.06.2023;ЛУ0007470;0;0;
17;01.06.2023;ЛЦ0011384;600;22500;
17;01.06.2023;ЛУ0000027;0;0;
17;01.06.2023;ЛУ0000046;0;0;
17;01.06.2023;ЛЦ0003864;40;3168;
17;01.06.2023;ЛЦ0010823;0;0;
17;01.06.2023;ЛЦ0009358;938;78,16;
17;01.06.2023;ЛУ0000003;234;11360,7;
17;01.06.2023;ЛУ0012020;257;14456,25;
17;01.06.2023;ЛЦ0011353;300;25;
17;01.06.2023;ЛЦ0002289;0;0;
17;01.06.2023;ЛУ0000246;0;0;
17;01.06.2023;ЛУ0000047;5;597,25;
17;01.06.2023;ЛЦ0004202;0;0;
17;01.06.2023;ЛЦ0011117;0;0;
17;01.06.2023;ЛЦ0004684;1825,2;119550,6;
17;01.06.2023;ЛЦ0005103;3240;17820;
17;01.06.2023;ЛЦ0010356;30;2760;
17;01.06.2023;ЛЦ0010824;0;0;
17;01.06.2023;ЛЦ0011313;24;20;
17;01.06.2023;ЛЦ0010682;380;19323;
17;01.06.2023;ЛЦ0009359;0;0;
17;01.06.2023;ЛЦ0011361;100;8,33;
17;01.06.2023;ЛУ0000018;279;18874,35;
17;01.06.2023;ЛЦ0007893;4070;22385;
17;01.06.2023;ЛЦ0010967;1235;61564,75;
17;01.06.2023;ЛЦ0011312;0;0;
17;01.06.2023;ЛЦ0006403;50;3900;
17;01.06.2023;ЛУ0012000;50;3927,49;
17;01.06.2023;ЛУ0000649;0;0;
17;01.06.2023;ЛЦ0010981;720;60;
17;02.06.2023;ЛЦ0006613;40;2974;
17;02.06.2023;ЛЦ0009003;0;0;
17;02.06.2023;ЛЦ0008631;89,712;6461,4;
17;02.06.2023;ЛЦ0010463;0;0;
17;02.06.2023;ЛЦ0011135;0;0;
17;02.06.2023;ЛЦ0011243;735;25210,05;
17;02.06.2023;ЛЦ0010448;0;0;
17;02.06.2023;ЛУ0000006;0;0;
17;02.06.2023;ЛЦ0005388;288;14472;
17;02.06.2023;ЛЦ0011477;0;0;
17;02.06.2023;ЛЦ0011014;0;0;
17;02.06.2023;ЛЦ0011455;10;875;
17;02.06.2023;ЛЦ0009360;0;0;
17;02.06.2023;ЛЦ0009004;0;0;
17;02.06.2023;ЛЦ0011346;0;0;
17;02.06.2023;ЛЦ0006625;40;3848;
17;02.06.2023;ЛЦ0010449;0;0;
17;02.06.2023;ЛЦ0009155;0;0;
17;02.06.2023;ЛЦ0011381;150;8625;
17;02.06.2023;ЛУ0012010;0;0;
17;02.06.2023;ЛЦ0011136;0;0;
17;02.06.2023;ЛЦ0006626;0;0;
17;02.06.2023;ЛЦ0010625;0;0;
17;02.06.2023;ЛЦ0010787;0;0;
17;02.06.2023;ЛЦ0002292;0;0;
17;02.06.2023;ЛЦ0007401;40;2664;
17;02.06.2023;ЛЦ0011120;0;0;
17;02.06.2023;ЛЦ0004199;0;0;
17;02.06.2023;ЛЦ0011382;150;10250;
17;02.06.2023;ЛУ0000025;0;0;
17;02.06.2023;ЛУ0000044;50;2085,01;
17;02.06.2023;ЛЦ0003862;40;3530;
17;02.06.2023;ЛЦ0009247;0;0;
17;02.06.2023;ЛЦ0005445;0;0;
17;02.06.2023;ЛЦ0010418;0;0;
17;02.06.2023;ЛЦ0010706;0;0;
17;02.06.2023;ЛЦ0006627;0;0;
17;02.06.2023;ЛЦ0010460;146;584;
17;02.06.2023;ЛЦ0006108;183,5;32204,25;
17;02.06.2023;ЛЦ0011001;0;0;
17;02.06.2023;ЛЦ0011121;0;0;
17;02.06.2023;ЛЦ0005798;0;0;
17;02.06.2023;ЛУ0000026;69;6348;
17;02.06.2023;ЛЦ0011383;150;15625;
17;02.06.2023;ЛЦ0002663;40;4328;
17;02.06.2023;ЛУ0000045;96;9110,4;
17;02.06.2023;ЛУ0009210;0;0;
17;02.06.2023;ЛЦ0003863;103;7992,8;
17;02.06.2023;ЛЦ0011441;0;0;
17;02.06.2023;ЛЦ0009357;0;0;
17;02.06.2023;ЛЦ0011301;720;37235;
17;02.06.2023;ЛЦ0005548;0;0;
17;02.06.2023;ЛУ0007470;0;0;
17;02.06.2023;ЛЦ0011384;600;22500;
17;02.06.2023;ЛУ0000027;0;0;
17;02.06.2023;ЛУ0000046;0;0;
17;02.06.2023;ЛЦ0003864;35;2772;
17;02.06.2023;ЛЦ0010823;0;0;
17;02.06.2023;ЛЦ0009358;218;18,16;
17;02.06.2023;ЛУ0000003;210;10195,5;
17;02.06.2023;ЛУ0012020;257;14456,25;
17;02.06.2023;ЛЦ0011353;300;25;
17;02.06.2023;ЛЦ0002289;0;0;
17;02.06.2023;ЛУ0000246;0;0;
17;02.06.2023;ЛУ0000047;0;0;
17;02.06.2023;ЛЦ0004202;0;0;
17;02.06.2023;ЛЦ0011117;0;0;
17;02.06.2023;ЛЦ0004684;1765,8;115659,9;
17;02.06.2023;ЛЦ0005103;2220;12210;
17;02.06.2023;ЛЦ0010356;30;2760;
17;02.06.2023;ЛЦ0010824;0;0;
17;02.06.2023;ЛЦ0011313;0;0;
17;02.06.2023;ЛЦ0010682;330;16780,5;
17;02.06.2023;ЛЦ0009359;0;0;
17;02.06.2023;ЛЦ0011361;100;8,33;
17;02.06.2023;ЛУ0000018;274;18536,1;
17;02.06.2023;ЛЦ0007893;2630;14465;
